Titlu,Autor,An,Categorie,Descriere
Venea o moară pe Siret,Mihail Sadoveanu,1925,Literatură română,Roman despre conflictul dintre un morar și un cârciumar lacom.
Nicoară Potcoavă,Mihail Sadoveanu,1952,Literatură română,Roman istoric despre un domnitor moldovean de origine cazacă.
Popa Tanda,Ioan Slavici,1881,Literatură română,"Nuvelă despre un preot exilat într-un sat sărac, pe care ajunge să îl transforme."
Hagi-Tudose,Barbu Ștefănescu Delavrancea,1903,Literatură română,Nuvelă despre un negustor zgârcit obsedat de agonisirea banilor.
Din bătrâni,Barbu Ștefănescu Delavrancea,1898,Literatură română,Culegere de povestiri despre viața rurală și tradițiile românești vechi.
Rusoaica,Gib Mihăescu,1933,Literatură română,Roman despre o pasiune obsesivă a unui ofițer pentru o femeie enigmatică.
Adam și Eva,Liviu Rebreanu,1925,Literatură română,Roman despre reîncarnare și iubire de-a lungul mai multor epoci istorice.
Gorila,Liviu Rebreanu,1938,Literatură română,Roman despre abuzurile poliției politice în România interbelică.
Pupa russa,Gheorghe Crăciun,2004,Literatură română,"Roman postmodern despre memorie, corp și identitate în comunismul românesc."
Marele singuratic,Marin Preda,1972,Literatură română,Roman despre întoarcerea unui fost activist de stânga într-o lume schimbată.
Delirul,Marin Preda,1975,Literatură română,"Roman despre România anilor 1940, pe fondul evenimentelor celui de-Al Doilea Război Mondial."
Fefeleaga,Ioan Slavici,1893,Literatură română,Nuvelă despre sărăcia și suferința unei femei dintr-un sat transilvănean.
Cel care aduce norocul,Vasile Voiculescu,1966,Literatură română,Nuvelă fantastică românească despre destin și supranatural.
Femeia în roșu,"Bedros Horasangian, Mircea Nedelciu, Adriana Babeți",1990,Literatură română,Roman colectiv postmodern construit din perspective narative multiple.
Frankenstein,Mary Shelley,1818,Literatură străină,"A young scientist creates a living creature, with tragic consequences for both."
Dracula,Bram Stoker,1897,Literatură străină,Epistolary novel about a vampire count and those who hunt him.
Wuthering Heights,Emily Brontë,1847,Literatură străină,A dark tale of obsessive love and revenge on the Yorkshire moors.
Jane Eyre,Charlotte Brontë,1847,Literatură străină,Follows an orphaned governess's journey to independence and love.
Great Expectations,Charles Dickens,1861,Literatură străină,A young orphan's rise in fortune and moral education in Victorian England.
The Picture of Dorian Gray,Oscar Wilde,1890,Literatură străină,A man stays young while his portrait ages and bears his sins.
Heart of Darkness,Joseph Conrad,1899,Literatură străină,A voyage up the Congo River becomes a descent into moral horror.
The Old Man and the Sea,Ernest Hemingway,1952,Literatură străină,An aging fisherman battles a giant marlin far out at sea.
Slaughterhouse-Five,Kurt Vonnegut,1969,Literatură străină,A satirical anti-war novel about a man unstuck in time after surviving Dresden.
Brave New World,Aldous Huxley,1932,Literatură străină,A dystopia where citizens are engineered and conditioned for stability and pleasure.
Maestrul și Margareta,Mihail Bulgakov,1967,Literatură străină,"Roman satiric în care diavolul vizitează Moscova sovietică, împletit cu povestea lui Pilat din Pont."
Doctor Jivago,Boris Pasternak,1957,Literatură străină,Roman despre destinul unui medic și poet pe fondul revoluției ruse.
Candid,Voltaire,1759,Literatură străină,Poveste filosofică satirică despre un tânăr naiv care traversează dezastre absurde.
Cuore (Inimă de copil),Edmondo De Amicis,1886,Literatură străină,"Jurnalul fictiv al unui elev italian, cu povestiri despre curaj și prietenie."
Iliada,Homer,,Poezie,Epopee despre ultimele săptămâni ale asediului Troiei și mânia lui Ahile.
Odiseea,Homer,,Poezie,Epopee despre întoarcerea acasă a lui Ulise după războiul troian.
Divina Comedie,Dante Alighieri,1320,Poezie,"Poem despre o călătorie imaginară prin Infern, Purgatoriu și Paradis."
Paradisul pierdut,John Milton,1667,Poezie,Epopee despre căderea lui Adam și a Evei și izgonirea din Eden.
Ode,John Keats,1819,Poezie,"Colecție de ode romantice despre frumusețe, artă și trecerea timpului."
Flori de mucigai,Tudor Arghezi,1931,Poezie,"Volum de poezie inspirat de experiența detenției, cu un limbaj dur și direct."
Iluminări,Arthur Rimbaud,1886,Poezie,"Culegere de poeme în proză, cu imagini vizionare și limbaj experimental."
Tristele,Ovidiu,,Poezie,Culegere de elegii scrise în exilul de la Pontul Euxin.
Alcools,Guillaume Apollinaire,1913,Poezie,"Volum de poezie modernistă franceză, fără punctuație, despre iubire și modernitate."
Necuvintele,Nichita Stănescu,1969,Poezie,Volum de poezie despre limitele limbajului în exprimarea existenței.
Apus de soare,Barbu Ștefănescu Delavrancea,1909,Teatru,Dramă istorică despre ultimii ani din viața lui Ștefan cel Mare.
Suflete tari,Camil Petrescu,1922,Teatru,Dramă despre orgoliu și incompatibilitate socială într-o poveste de iubire.
Jocul ielelor,Camil Petrescu,1918,Teatru,Dramă despre un idealist dezamăgit de compromisurile lumii politice.
"Take, Ianke și Cadâr",Victor Ion Popa,1933,Teatru,Comedie despre prietenia dintre trei negustori de etnii diferite.
Romeo și Julieta,William Shakespeare,1597,Teatru,Tragedie despre iubirea interzisă a doi tineri din familii rivale.
Regele Lear,William Shakespeare,1606,Teatru,Tragedie despre un rege care își împarte regatul și e trădat de propriile fiice.
Așteptându-l pe Godot,Samuel Beckett,1953,Teatru,Piesă a teatrului absurdului despre doi vagabonzi care așteaptă pe cineva care nu vine niciodată.
Livada de vișini,Anton Cehov,1904,Teatru,Dramă despre o familie nobiliară rusă care își pierde moșia și modul de viață.
Stăpânul Inelelor: Cele Două Turnuri,J.R.R. Tolkien,1954,Fantezie & SF,"A doua parte a epopeii fantasy, urmărind frăția destrămată în lupta împotriva răului."
Stăpânul Inelelor: Întoarcerea Regelui,J.R.R. Tolkien,1955,Fantezie & SF,"Încheierea epopeii fantasy, cu bătălia finală și distrugerea inelului."
Poveste fără sfârșit,Michael Ende,1979,Fantezie & SF,Un băiat citește o carte magică și e absorbit într-o lume fantastică pe cale de dispariție.
American Gods,Neil Gaiman,2001,Fantezie & SF,"Roman fantasy despre zeii vechi uitați, aflați în conflict cu zeitățile moderne ale Americii."
Cele Nouă Prinți ai Amberului,Roger Zelazny,1970,Fantezie & SF,Primul volum dintr-un ciclu fantasy despre o familie de prinți nemuritori.
Hyperion,Dan Simmons,1989,Fantezie & SF,Roman SF despre un grup de pelerini care își povestesc istoriile în drum spre o planetă misterioasă.
Ubik,Philip K. Dick,1969,Fantezie & SF,"Roman SF despre realitate, moarte și un produs misterios care pare să oprească dezintegrarea lumii."
Vis de androizi? (Do Androids Dream of Electric Sheep?),Philip K. Dick,1968,Fantezie & SF,Roman SF despre un vânător de recompense însărcinat să elimine androizi evadați.
Cuadratura cercului,Gheorghe Săsărman,1975,Fantezie & SF,Culegere de povestiri SF românești despre orașe imaginare.
The Talented Mr. Ripley,Patricia Highsmith,1955,Thriller & Mister,"A charming con man assumes another man's identity, with deadly consequences."
Rebecca,Daphne du Maurier,1938,Thriller & Mister,A young bride is haunted by the memory of her husband's first wife.
The Big Sleep,Raymond Chandler,1939,Thriller & Mister,A private detective is drawn into a web of blackmail and murder in Los Angeles.
The ABC Murders,Agatha Christie,1936,Thriller & Mister,Hercule Poirot investigates a killer who strikes in alphabetical order.
Misery,Stephen King,1987,Thriller & Mister,A novelist is held captive by his self-proclaimed biggest fan after a car crash.
The Girl on the Train,Paula Hawkins,2015,Thriller & Mister,A woman becomes entangled in a missing person investigation she witnessed from a train.
Shutter Island,Dennis Lehane,2003,Thriller & Mister,A U.S. Marshal investigates a disappearance at a psychiatric facility on a remote island.
The 7 Habits of Highly Effective People,Stephen Covey,1989,Non-ficțiune,A framework for personal and professional effectiveness built around seven core habits.
Never Split the Difference,Chris Voss,2016,Non-ficțiune,Negotiation techniques from a former FBI hostage negotiator.
Salt: A World History,Mark Kurlansky,2002,Non-ficțiune,"Traces how a common mineral shaped trade, economies, and civilizations."
Stiff: The Curious Lives of Human Cadavers,Mary Roach,2003,Non-ficțiune,An irreverent look at what happens to donated human bodies.
The Omnivore's Dilemma,Michael Pollan,2006,Non-ficțiune,"Investigates the origins of the food we eat, from industrial farms to foraging."
Bowling Alone,Robert Putnam,2000,Non-ficțiune,Analizează declinul capitalului social și al implicării civice în America.
Nudge,"Richard Thaler, Cass Sunstein",2008,Non-ficțiune,Explores how small changes in choice design can improve decisions.
Predictably Irrational,Dan Ariely,2008,Non-ficțiune,"Examines the hidden, systematic ways people make irrational decisions."
Chaos: Making a New Science,James Gleick,1987,Știință,Introduces chaos theory and its impact across multiple scientific fields.
The Double Helix,James Watson,1968,Știință,A personal account of the discovery of the structure of DNA.
What If?,Randall Munroe,2014,Știință,Serious scientific answers to absurd hypothetical questions.
The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010,Știință,The story of the cells taken without consent that revolutionized medical research.
Longitude,Dava Sobel,1995,Știință,The story of the clockmaker who solved the problem of measuring longitude at sea.
The Man Who Mistook His Wife for a Hat,Oliver Sacks,1985,Știință,Case studies of patients with unusual neurological disorders.
Six Easy Pieces,Richard Feynman,1994,Știință,Accessible introductory lectures on the fundamentals of physics.
Sapiens (ediție ilustrată),Yuval Noah Harari,2011,Știință,Ediție ilustrată a sintezei despre evoluția biologică și culturală a omului.
1491,Charles C. Mann,2005,Istorie,Reexaminează civilizațiile americane dinaintea sosirii lui Columb.
SPQR: A History of Ancient Rome,Mary Beard,2015,Istorie,"O istorie cuprinzătoare a Romei antice, de la origini la extinderea cetățeniei romane."
The Rise and Fall of the Third Reich,William Shirer,1960,Istorie,"Istorie detaliată a Germaniei naziste, de la ascensiune până la prăbușire."
Istoria Războiului Peloponesiac,Tucidide,,Istorie,Relatare contemporană a războiului dintre Atena și Sparta din Grecia antică.
Istoriile,Herodot,,Istorie,"Prima lucrare istoriografică majoră, despre războaiele greco-persane."
Genghis Khan and the Making of the Modern World,Jack Weatherford,2004,Istorie,Reevaluează impactul lui Genghis Khan și al Imperiului Mongol asupra lumii moderne.
Istoria românilor din cele mai vechi timpuri până astăzi,Constantin C. Giurescu,1935,Istorie,"Sinteză de referință a istoriei românilor, de la origini până în epoca modernă."
Postwar (ediție extinsă),Tony Judt,2005,Istorie,Ediție extinsă a istoriei Europei de după cel de-Al Doilea Război Mondial.
The Autobiography of Malcolm X,"Malcolm X, Alex Haley",1965,Biografie,"Memoriile liderului drepturilor civile, de la copilărie la activismul politic."
Unbroken,Laura Hillenbrand,2010,Biografie,The story of an Olympic runner who survived a plane crash and Japanese POW camps.
Into the Wild,Jon Krakauer,1996,Biografie,Reconstituie ultima călătorie a unui tânăr care a renunțat la civilizație pentru sălbăticia Alaskăi.
Team of Rivals,Doris Kearns Goodwin,2005,Biografie,Biografie a lui Abraham Lincoln și a rivalilor săi politici deveniți colaboratori.
Just Kids,Patti Smith,2010,Biografie,Memorii despre prietenia dintre autoare și fotograful Robert Mapplethorpe.
Born a Crime,Trevor Noah,2016,Biografie,Memoriile comediantului despre copilăria petrecută în Africa de Sud a apartheidului.
The Glass Castle,Jeannette Walls,2005,Biografie,Memorii despre o copilărie nomadă și haotică alături de părinți neconvenționali.
Viața lui Mihai Eminescu,George Călinescu,1932,Biografie,Biografie de referință a poetului național român.
Discurs asupra metodei,René Descartes,1637,Filozofie,"Tratat despre metoda rațională de căutare a adevărului, sursa cogito-ului cartezian."
Eseuri,Michel de Montaigne,1580,Filozofie,Colecție de eseuri personale ce a fondat genul ca formă literară.
Utilitarismul,John Stuart Mill,1863,Filozofie,Tratat despre etica bazată pe maximizarea fericirii generale.
Existențialismul este un umanism,Jean-Paul Sartre,1946,Filozofie,Conferință în care Sartre apără existențialismul ca filosofie a libertății și responsabilității.
Al doilea sex,Simone de Beauvoir,1949,Filozofie,"Tratat fondator al filosofiei feministe moderne, despre condiția femeii."
Ființa și neantul,Jean-Paul Sartre,1943,Filozofie,Tratat major de filosofie existențialistă despre libertate și conștiință.
Tratatul teologico-politic,Baruch Spinoza,1670,Filozofie,Tratat despre libertatea de gândire și relația dintre religie și stat.
Ars Poetica,Horațiu,,Filozofie,"Epistolă despre principiile artei poetice, influentă în estetica occidentală."
Mindset: The New Psychology of Success,Carol Dweck,2006,Psihologie,Distinge între mentalitatea fixă și cea de creștere și impactul lor asupra succesului.
The Body Keeps the Score,Bessel van der Kolk,2014,Psihologie,Explorează efectele traumei asupra corpului și minții și metodele de vindecare.
Influence: The Psychology of Persuasion,Robert Cialdini,1984,Psihologie,Analizează principiile psihologice din spatele persuasiunii și conformării.
Games People Play,Eric Berne,1964,Psihologie,Introduce analiza tranzacțională prin tipare ascunse din interacțiunile sociale.
Learned Optimism,Martin Seligman,1991,Psihologie,Despre stilul explicativ optimist versus pesimist și efectele lui asupra vieții.
The Road Less Traveled,M. Scott Peck,1978,Psihologie,"Explorează disciplina, iubirea și creșterea spirituală din perspectivă psihologică."
The Happiness Hypothesis,Jonathan Haidt,2006,Psihologie,Analizează ideile despre fericire din filosofia antică prin prisma psihologiei moderne.
Motivation and Personality,Abraham Maslow,1954,Psihologie,Lucrare fondatoare a ierarhiei nevoilor umane a lui Maslow.
The Black Swan,Nassim Nicholas Taleb,2007,Economie & Afaceri,"Despre impactul evenimentelor rare, imprevizibile asupra economiei și istoriei."
Antifragile,Nassim Nicholas Taleb,2012,Economie & Afaceri,"Explorează sistemele care se întăresc, nu doar rezistă, în fața dezordinii."
The E-Myth Revisited,Michael Gerber,1995,Economie & Afaceri,Explică de ce majoritatea afacerilor mici eșuează și ce le poate face să funcționeze.
Purple Cow,Seth Godin,2003,Economie & Afaceri,Despre necesitatea de a crea produse remarcabile într-o piață saturată.
Built to Last,"Jim Collins, Jerry Porras",1994,Economie & Afaceri,Studiază ce diferențiază companiile vizionare de longevitate de restul.
The 4-Hour Workweek,Timothy Ferriss,2007,Economie & Afaceri,Propune strategii de eficientizare a muncii și a stilului de viață antreprenorial.
Poor Economics,"Abhijit Banerjee, Esther Duflo",2011,Economie & Afaceri,Analizează sărăcia globală printr-o abordare economică bazată pe dovezi.
Peter Pan,J.M. Barrie,1911,Copii,Povestea unui băiat care nu vrea să crească și a Țării de Nicăieri.
Vrăjitorul din Oz,L. Frank Baum,1900,Copii,O fetiță și prietenii ei călătoresc spre Orașul de Smarald pentru a-și îndeplini dorințele.
Poveștile fraților Grimm,Frații Grimm,1812,Copii,"Culegere de povești populare germane, printre care Albă ca Zăpada și Cenușăreasa."
Poveștile lui Andersen,Hans Christian Andersen,1835,Copii,Culegere de povești printre care Mica Sirenă și Rățușca cea urâtă.
Heidi,Johanna Spyri,1881,Copii,Povestea unei fetițe crescute de bunicul ei în Alpii elvețieni.
Minunata călătorie a lui Nils Holgersson,Selma Lagerlöf,1906,Copii,Un băiat neastâmpărat e transformat într-un spiriduș și călătorește cu gâștele sălbatice.
Cronicile Narniei: Prințul Caspian,C.S. Lewis,1951,Copii,Cei patru copii se întorc în Narnia pentru a-l ajuta pe prințul Caspian.
James și piersica uriașă,Roald Dahl,1961,Copii,Un băiat orfan călătorește într-o piersică magică uriașă alături de insecte vorbitoare.
The Art of Computer Programming,Donald Knuth,1968,Tehnologie,"Serie de referință despre algoritmi fundamentali, considerată o piatră de temelie a informaticii."
Head First Design Patterns,"Eric Freeman, Elisabeth Freeman",2004,Tehnologie,Introducere vizuală și accesibilă în modelele de proiectare orientate obiect.
Cracking the Coding Interview,Gayle Laakmann McDowell,2008,Tehnologie,Ghid de pregătire pentru interviuri tehnice de programare.
The Phoenix Project,Gene Kim,2013,Tehnologie,Roman despre transformarea IT și practicile DevOps într-o companie fictivă.
Clean Architecture,Robert C. Martin,2017,Tehnologie,Principii de proiectare software pentru sisteme ușor de întreținut și extins.
Grokking Algorithms,Aditya Bhargava,2016,Tehnologie,"Introducere ilustrată în algoritmi, gândită pentru începători."
Eloquent JavaScript,Marijn Haverbeke,2011,Tehnologie,Introducere modernă în limbajul JavaScript și programarea web.
Art Through the Ages,Helen Gardner,1926,Artă,"Manual de referință despre istoria artei mondiale, de la preistorie la arta modernă."
The Shock of the New,Robert Hughes,1980,Artă,Analizează evoluția artei moderne și reacțiile societății față de inovațiile ei.
Ars Poetica (Horațiu),Horațiu,,Artă,Epistolă antică despre principiile compoziției artistice și literare.
Laocoon,Gotthold Ephraim Lessing,1766,Artă,Eseu despre granițele dintre poezie și artele vizuale.
Camera Lucida,Roland Barthes,1980,Artă,Eseu despre natura și puterea emoțională a fotografiei.
Despre fotografie (On Photography),Susan Sontag,1977,Artă,Eseuri despre rolul fotografiei în modelarea percepției asupra realității.
Pictorul vieții moderne,Charles Baudelaire,1863,Artă,"Eseu despre artă și modernitate, centrat pe figura artistului observator al orașului."
